"site","date","count"
"M-2",2024-06-26,333
"M-2",2024-06-27,272
"M-2",2024-06-28,104
"M-5",2024-03-10,2
"M-5",2024-03-11,1
"M-5",2024-03-12,0
"M-5",2024-03-13,0
"M-5",2024-03-14,0
"M-5",2024-03-15,0
"M-5",2024-03-16,9
"M-5",2024-03-17,1
"M-5",2024-03-18,0
"M-5",2024-03-19,0
"M-5",2024-03-20,0
"M-5",2024-03-21,80
"M-5",2024-03-22,97
"M-5",2024-03-23,32
"M-5",2024-03-24,32
"M-5",2024-03-25,43
"M-5",2024-03-26,23
"M-5",2024-03-27,1
"M-5",2024-03-28,1
"M-5",2024-03-29,2
"M-5",2024-03-30,19
"M-5",2024-03-31,17
"M-5",2024-04-01,43
"M-5",2024-04-02,25
"M-5",2024-04-03,28
"M-5",2024-04-04,0
"M-5",2024-04-05,0
"M-5",2024-04-06,0
"M-5",2024-04-07,10
"M-5",2024-04-08,11
"M-5",2024-04-09,8
"M-5",2024-04-10,3
"M-5",2024-04-11,0
"M-5",2024-04-12,0
"M-5",2024-04-13,2
"M-5",2024-04-14,2
"M-5",2024-04-15,84
"M-5",2024-04-16,29
"M-5",2024-04-17,60
"M-5",2024-04-18,57
"M-5",2024-04-19,173
"M-5",2024-04-20,99
"M-5",2024-04-21,4
"M-5",2024-04-22,27
"M-5",2024-04-23,118
"M-5",2024-04-24,171
"M-5",2024-04-25,138
"M-5",2024-04-26,31
"M-5",2024-04-27,63
"M-5",2024-04-28,97
"M-5",2024-04-29,142
"M-5",2024-04-30,147
"M-5",2024-05-01,73
"M-5",2024-05-02,143
"M-5",2024-05-03,186
"M-5",2024-05-04,161
"M-5",2024-05-05,256
"M-5",2024-05-06,150
"M-5",2024-05-07,74
"M-5",2024-05-08,86
"M-5",2024-05-09,114
"M-5",2024-05-10,23
"M-5",2024-05-11,20
"M-5",2024-05-12,387
"M-5",2024-05-13,13
"M-5",2024-05-14,41
"M-5",2024-05-15,107
"M-5",2024-05-16,203
"M-5",2024-05-17,281
"M-5",2024-05-18,104
"M-5",2024-05-19,40
"M-5",2024-05-20,86
"M-5",2024-05-21,132
"M-5",2024-05-22,283
"M-5",2024-05-23,148
"M-5",2024-05-24,151
"M-5",2024-05-25,158
"M-5",2024-05-26,242
"M-5",2024-05-27,244
"M-5",2024-05-28,122
"M-5",2024-05-29,181
"M-5",2024-05-30,101
"M-5",2024-05-31,103
"M-5",2024-06-01,135
"M-5",2024-06-02,366
"M-5",2024-06-03,352
"M-5",2024-06-04,142
"M-5",2024-06-05,129
"M-5",2024-06-06,207
"M-5",2024-06-07,65
"M-5",2024-06-08,148
"M-5",2024-06-09,63
"M-5",2024-06-10,74
"M-5",2024-06-11,173
"M-5",2024-06-12,267
"M-5",2024-06-13,63
"M-5",2024-06-14,236
"M-5",2024-06-15,71
"M-5",2024-06-16,74
"M-5",2024-06-17,45
"M-5",2024-06-18,76
"M-5",2024-06-19,53
"M-5",2024-06-20,3
"M-5",2024-06-21,19
"M-5",2024-06-22,37
"M-5",2024-06-23,68
"M-5",2024-06-24,45
"M-5",2024-06-25,138
"M-5",2024-06-26,372
"M-5",2024-06-27,230
"M-5",2024-06-28,128
"M-6",2024-03-10,0
"M-6",2024-03-11,0
"M-6",2024-03-12,0
"M-6",2024-03-13,0
"M-6",2024-03-14,0
"M-6",2024-03-15,0
"M-6",2024-03-16,0
"M-6",2024-03-17,0
"M-6",2024-03-18,0
"M-6",2024-03-19,0
"M-6",2024-03-20,0
"M-6",2024-03-21,0
"M-6",2024-03-22,0
"M-6",2024-03-23,0
"M-6",2024-03-24,0
"M-6",2024-03-25,0
"M-6",2024-03-26,0
"M-6",2024-03-27,0
"M-6",2024-03-28,0
"M-6",2024-03-29,0
"M-6",2024-03-30,0
"M-6",2024-03-31,0
"M-6",2024-04-01,0
"M-6",2024-04-02,0
"M-6",2024-04-03,0
"M-6",2024-04-04,0
"M-6",2024-04-05,0
"M-6",2024-04-06,0
"M-6",2024-04-07,0
"M-6",2024-04-08,0
"M-6",2024-04-09,0
"M-6",2024-04-10,0
"M-6",2024-04-11,0
"M-6",2024-04-12,0
"M-6",2024-04-13,0
"M-6",2024-04-14,0
"M-6",2024-04-15,0
"M-6",2024-04-16,0
"M-6",2024-04-17,0
"M-6",2024-04-18,0
"M-6",2024-04-19,0
"M-6",2024-04-20,0
"M-6",2024-04-21,0
"M-6",2024-04-22,90
"M-6",2024-04-23,150
"M-6",2024-04-24,271
"M-6",2024-04-25,141
"M-6",2024-04-26,13
"M-6",2024-04-27,133
"M-6",2024-04-28,119
"M-6",2024-04-29,127
"M-6",2024-04-30,140
"M-6",2024-05-01,122
"M-6",2024-05-02,65
"M-6",2024-05-03,139
"M-6",2024-05-04,84
"M-6",2024-05-05,191
"M-6",2024-05-06,199
"M-6",2024-05-07,19
"M-6",2024-05-08,26
"M-6",2024-05-09,10
"M-6",2024-05-10,5
"M-6",2024-05-11,37
"M-6",2024-05-12,261
"M-6",2024-05-13,45
"M-6",2024-05-14,67
"M-6",2024-05-15,89
"M-6",2024-05-16,213
"M-6",2024-05-17,114
"M-6",2024-05-18,12
"M-6",2024-05-19,0
"M-6",2024-05-20,33
"M-6",2024-05-21,128
"M-6",2024-05-22,184
"M-6",2024-05-23,135
"M-6",2024-05-24,131
"M-6",2024-05-25,148
"M-6",2024-05-26,146
"M-6",2024-05-27,256
"M-6",2024-05-28,63
"M-6",2024-05-29,263
"M-6",2024-05-30,174
"M-6",2024-05-31,204
"M-6",2024-06-01,169
"M-6",2024-06-02,172
"M-6",2024-06-03,299
"M-6",2024-06-04,247
"M-6",2024-06-05,304
"M-6",2024-06-06,194
"M-6",2024-06-07,199
"M-6",2024-06-08,288
"M-6",2024-06-09,93
"M-6",2024-06-10,81
"M-6",2024-06-11,164
"M-6",2024-06-12,235
"M-6",2024-06-13,127
"M-6",2024-06-14,428
"M-6",2024-06-15,335
"M-6",2024-06-16,240
"M-6",2024-06-17,181
"M-6",2024-06-18,126
"M-6",2024-06-19,94
"M-6",2024-06-20,72
"M-6",2024-06-21,136
"M-6",2024-06-22,11
"M-6",2024-06-23,41
"M-6",2024-06-24,57
"M-6",2024-06-25,141
"M-6",2024-06-26,248
"M-6",2024-06-27,136
"M-6",2024-06-28,100
"M-7",2024-03-10,0
"M-7",2024-03-11,0
"M-7",2024-03-12,0
"M-7",2024-03-13,0
"M-7",2024-03-14,1
"M-7",2024-03-15,3
"M-7",2024-03-16,0
"M-7",2024-03-17,0
"M-7",2024-03-18,0
"M-7",2024-03-19,1
"M-7",2024-03-20,30
"M-7",2024-03-21,11
"M-7",2024-03-22,9
"M-7",2024-03-23,94
"M-7",2024-03-24,2
"M-7",2024-03-25,115
"M-7",2024-03-26,2
"M-7",2024-03-27,142
"M-7",2024-03-28,5
"M-7",2024-03-29,0
"M-7",2024-03-30,59
"M-7",2024-03-31,62
"M-7",2024-04-01,81
"M-7",2024-04-02,38
"M-7",2024-04-03,2
"M-7",2024-04-04,0
"M-7",2024-04-05,0
"M-7",2024-04-06,0
"M-7",2024-04-07,10
"M-7",2024-04-08,14
"M-7",2024-04-09,29
"M-7",2024-04-10,38
"M-7",2024-04-11,0
"M-7",2024-04-12,1
"M-7",2024-04-13,22
"M-7",2024-04-14,51
"M-7",2024-04-15,155
"M-7",2024-04-16,122
"M-7",2024-04-17,88
"M-7",2024-04-18,171
"M-7",2024-04-19,150
"M-7",2024-04-20,155
"M-7",2024-04-21,58
"M-7",2024-04-22,294
"M-7",2024-04-23,87
"M-7",2024-04-24,179
"M-7",2024-04-25,97
"M-7",2024-04-26,43
"M-7",2024-04-27,124
"M-7",2024-04-28,86
"M-7",2024-04-29,59
"M-7",2024-04-30,11
"M-7",2024-05-01,110
"M-7",2024-05-02,67
"M-7",2024-05-03,120
"M-7",2024-05-04,105
"M-7",2024-05-05,157
"M-7",2024-05-06,267
"M-7",2024-05-07,140
"M-7",2024-05-08,95
"M-7",2024-05-09,28
"M-7",2024-05-10,59
"M-7",2024-05-11,242
"M-7",2024-05-12,138
"M-7",2024-05-13,68
"M-7",2024-05-14,73
"M-7",2024-05-15,59
"M-7",2024-05-16,238
"M-7",2024-05-17,220
"M-7",2024-05-18,85
"M-7",2024-05-19,139
"M-7",2024-05-20,110
"M-7",2024-05-21,177
"M-7",2024-05-22,277
"M-7",2024-05-23,225
"M-7",2024-05-24,163
"M-7",2024-05-25,95
"M-7",2024-05-26,96
"M-7",2024-05-27,158
"M-7",2024-05-28,68
"M-7",2024-05-29,173
"M-7",2024-05-30,256
"M-7",2024-05-31,167
"M-7",2024-06-01,334
"M-7",2024-06-02,164
"M-7",2024-06-03,193
"M-7",2024-06-04,261
"M-7",2024-06-05,142
"M-7",2024-06-06,70
"M-7",2024-06-07,78
"M-7",2024-06-08,230
"M-7",2024-06-09,97
"M-7",2024-06-10,253
"M-7",2024-06-11,217
"M-7",2024-06-12,284
"M-7",2024-06-13,121
"M-7",2024-06-14,298
"M-7",2024-06-15,330
"M-7",2024-06-16,326
"M-7",2024-06-17,323
"M-7",2024-06-18,133
"M-7",2024-06-19,269
"M-7",2024-06-20,197
"M-7",2024-06-21,120
"M-7",2024-06-22,21
"M-7",2024-06-23,42
"M-7",2024-06-24,2
"M-7",2024-06-25,83
"M-7",2024-06-26,157
"M-7",2024-06-27,168
"M-7",2024-06-28,49
"M-9",2024-03-10,0
"M-9",2024-03-11,0
"M-9",2024-03-12,0
"M-9",2024-03-13,0
"M-9",2024-03-14,0
"M-9",2024-03-15,0
"M-9",2024-03-16,0
"M-9",2024-03-17,0
"M-9",2024-03-18,0
"M-9",2024-03-19,0
"M-9",2024-03-20,0
"M-9",2024-03-21,0
"M-9",2024-03-22,0
"M-9",2024-03-23,0
"M-9",2024-03-24,0
"M-9",2024-03-25,0
"M-9",2024-03-26,0
"M-9",2024-03-27,0
"M-9",2024-03-28,0
"M-9",2024-03-29,0
"M-9",2024-03-30,0
"M-9",2024-03-31,0
"M-9",2024-04-01,0
"M-9",2024-04-02,0
"M-9",2024-04-03,0
"M-9",2024-04-04,0
"M-9",2024-04-05,0
"M-9",2024-04-06,0
"M-9",2024-04-07,0
"M-9",2024-04-08,0
"M-9",2024-04-09,0
"M-9",2024-04-10,0
"M-9",2024-04-11,0
"M-9",2024-04-12,0
"M-9",2024-04-13,0
"M-9",2024-04-14,0
"M-9",2024-04-15,0
"M-9",2024-04-16,0
"M-9",2024-04-17,0
"M-9",2024-04-18,0
"M-9",2024-04-19,0
"M-9",2024-04-20,0
"M-9",2024-04-21,35
"M-9",2024-04-22,126
"M-9",2024-04-23,39
"M-9",2024-04-24,27
"M-9",2024-04-25,26
"M-9",2024-04-26,16
"M-9",2024-04-27,72
"M-9",2024-04-28,24
"M-9",2024-04-29,5
"M-9",2024-04-30,0
"M-9",2024-05-01,7
"M-9",2024-05-02,63
"M-9",2024-05-03,57
"M-9",2024-05-04,50
"M-9",2024-05-05,75
"M-9",2024-05-06,67
"M-9",2024-05-07,73
"M-9",2024-05-08,26
"M-9",2024-05-09,36
"M-9",2024-05-10,25
"M-9",2024-05-11,197
"M-9",2024-05-12,53
"M-9",2024-05-13,24
"M-9",2024-05-14,33
"M-9",2024-05-15,82
"M-9",2024-05-16,271
"M-9",2024-05-17,112
"M-9",2024-05-18,93
"M-9",2024-05-19,81
"M-9",2024-05-20,74
"M-9",2024-05-21,66
"M-9",2024-05-22,70
"M-9",2024-05-23,30
"M-9",2024-05-24,110
"M-9",2024-05-25,98
"M-9",2024-05-26,117
"M-9",2024-05-27,185
"M-9",2024-05-28,49
"M-9",2024-05-29,43
"M-9",2024-05-30,40
"M-9",2024-05-31,50
"M-9",2024-06-01,17
"M-9",2024-06-02,69
"M-9",2024-06-03,47
"M-9",2024-06-04,54
"M-9",2024-06-05,13
"M-9",2024-06-06,21
"M-9",2024-06-07,81
"M-9",2024-06-08,73
"M-9",2024-06-09,55
"M-9",2024-06-10,194
"M-9",2024-06-11,77
"M-9",2024-06-12,21
"M-9",2024-06-13,4
"M-9",2024-06-14,108
"M-9",2024-06-15,77
"M-9",2024-06-16,28
"M-9",2024-06-17,73
"M-9",2024-06-18,33
"M-9",2024-06-19,137
"M-9",2024-06-20,130
"M-9",2024-06-21,127
"M-9",2024-06-22,8
"M-9",2024-06-23,36
"M-9",2024-06-24,0
"M-9",2024-06-25,33
"M-9",2024-06-26,217
