"site","date","count","treatment"
"M-12",2024-06-25,123,"mine"
"M-12",2024-06-26,101,"mine"
"M-12",2024-06-27,133,"mine"
"M-12",2024-06-28,10,"mine"
"M-2",2024-03-10,0,"mine"
"M-2",2024-03-11,0,"mine"
"M-2",2024-03-12,0,"mine"
"M-2",2024-03-13,0,"mine"
"M-2",2024-03-14,0,"mine"
"M-2",2024-03-15,0,"mine"
"M-2",2024-03-16,6,"mine"
"M-2",2024-03-17,16,"mine"
"M-2",2024-03-18,0,"mine"
"M-2",2024-03-19,0,"mine"
"M-2",2024-03-20,2,"mine"
"M-2",2024-03-21,33,"mine"
"M-2",2024-03-22,140,"mine"
"M-2",2024-03-23,59,"mine"
"M-2",2024-03-24,195,"mine"
"M-2",2024-03-25,77,"mine"
"M-2",2024-03-26,42,"mine"
"M-2",2024-03-27,4,"mine"
"M-2",2024-03-28,47,"mine"
"M-2",2024-03-29,1,"mine"
"M-2",2024-03-30,7,"mine"
"M-2",2024-03-31,22,"mine"
"M-2",2024-04-01,78,"mine"
"M-2",2024-04-02,69,"mine"
"M-2",2024-04-03,165,"mine"
"M-2",2024-04-04,109,"mine"
"M-2",2024-04-05,4,"mine"
"M-2",2024-04-06,148,"mine"
"M-2",2024-04-07,63,"mine"
"M-2",2024-04-08,195,"mine"
"M-2",2024-04-09,207,"mine"
"M-2",2024-04-10,188,"mine"
"M-2",2024-04-11,80,"mine"
"M-2",2024-04-12,110,"mine"
"M-2",2024-04-13,74,"mine"
"M-2",2024-04-14,201,"mine"
"M-2",2024-04-15,10,"mine"
"M-2",2024-04-16,0,"mine"
"M-2",2024-04-17,0,"mine"
"M-2",2024-04-18,0,"mine"
"M-2",2024-04-19,0,"mine"
"M-2",2024-04-20,0,"mine"
"M-2",2024-04-21,0,"mine"
"M-2",2024-04-22,237,"mine"
"M-2",2024-04-23,389,"mine"
"M-2",2024-04-24,376,"mine"
"M-2",2024-04-25,243,"mine"
"M-2",2024-04-26,245,"mine"
"M-2",2024-04-27,177,"mine"
"M-2",2024-04-28,289,"mine"
"M-2",2024-04-29,127,"mine"
"M-2",2024-04-30,281,"mine"
"M-2",2024-05-01,189,"mine"
"M-2",2024-05-02,157,"mine"
"M-2",2024-05-03,380,"mine"
"M-2",2024-05-04,428,"mine"
"M-2",2024-05-05,375,"mine"
"M-2",2024-05-06,410,"mine"
"M-2",2024-05-07,506,"mine"
"M-2",2024-05-08,371,"mine"
"M-2",2024-05-09,285,"mine"
"M-2",2024-05-10,279,"mine"
"M-2",2024-05-11,324,"mine"
"M-2",2024-05-12,187,"mine"
"M-2",2024-05-13,158,"mine"
"M-2",2024-05-14,171,"mine"
"M-2",2024-05-15,69,"mine"
"M-2",2024-05-16,168,"mine"
"M-2",2024-05-17,183,"mine"
"M-2",2024-05-18,120,"mine"
"M-2",2024-05-19,35,"mine"
